Carry,TotalDistance,BallSpeed,BackSpin,SideSpin,HLA,VLA,Decent,DistanceToPin,PeakHeight,Offline,rawSpinAxis,rawCarryGame,rawCarryLM,Club,ClubSpeed,Path,AoA,FaceToTarget,FaceToPath,Lie,Loft,DynamicLoft,CR,HI,VI,SmashFactor
53.92745,63.21993,56.95867,5148.873,-1321.066,-4.145899,23.43915,30.29802,366.01 yds,21.45087,-6.240838,-14.87126,53.85234,0,DR,50.80771,7.017041,-2.748545,-12.48892,19.50596,-0.06489839,27.99517,31.47319,0,0.393844,-0.3203197,0
19.15232,41.90814,48.52906,4202.336,-4074.099,-8.010211,10.82603,8.922994,387.83 yds,2.857384,-3.667716,-76.18733,19.06558,0,DR,47.3617,10.75973,-7.404819,-23.63426,34.394,-6.266362,24.52384,33.54973,0,-1.187423,0.7535518,0
36.55291,60.91745,52.55997,3015.26,-22.38294,-0.7212648,15.79362,16.79555,367.79 yds,8.611453,-0.4885464,-0.4252063,36.73272,0,DR,43.13858,2.483575,-9.537842,-2.162281,4.645856,-0.7043355,19.63907,29.15027,0,0.584387,-0.2371825,0
19.71396,24.52914,31.72989,4015.855,291.1051,4.448825,32.4996,33.12799,404.26 yds,10.09496,1.603796,4.156946,19.67127,0,DR,48.39764,9.91153,4.745978,4.828901,5.08263,0.5894341,24.7745,22.19252,0,0.6781893,-1.475857,0
5.983779,33.08285,43.52219,2012.996,-1149.97,-3.519769,2,2.28208,395.68 yds,0.3696462,-0.2192665,0,3.571527,0,DR,39.69663,6.301549,-4.84192,-8.60019,14.90174,-2.185189,16.8239,22.52674,0,1.0654,-0.7235335,0
38.38727,65.44437,66.6756,5335.997,-5287.979,-11.66834,6.799831,8.109469,364.84 yds,3.996961,-7.894745,0,39.03531,0,DR,49.77045,10.065,9.198413,-22.68878,32.75378,-0.5090175,4.790463,10.87163,0,0.007328874,0.4095668,0
33.30133,77.18856,75.149,3029.103,-3014.542,-9.930426,2,3.811344,352.92 yds,1.933014,-3.324672,0,19.2788,0,DR,57.49776,10.38273,1.46489,-11.51616,21.89889,1.178434,4.361636,10.76535,0,0.4632958,0.1326261,0
122.6204,124.8712,440.034,932.9609,-932.4663,0.3088719,67.03397,75.9017,303.83 yds,313.3036,0.6455438,0,119.7491,0,DR,0,13.17709,-3.070374,-12.08746,25.26455,-2.616817,0,0,0,-0.848767,-1.821686,0
12.41861,21.49072,29.26473,5608.705,-1470.729,-8.265382,19.45484,16.55072,407.46 yds,3.421227,-1.782339,0,12.39816,0,DR,53.28806,10.28973,11.39416,-8.511388,18.80112,1.752127,8.378863,10.51738,0,1.072044,-1.109796,0
0.6161903,23.55311,27.90958,4440.095,-654.3974,-24.9785,2,0.212,10 yds,0.1392987,-0.5753985,0,1.362605,0,LW,30.09129,-4.229986,-12.53725,8.311022,-12.54101,3.98144,39.21567,51.61401,0,1.707132,-0.6354303,0
